,movie,budget_int,total_gross_int,gross_margin,release_year,tconst,runtime_minutes,genre_lists,main_genre,averageRating,title,region,is_original_title,gross_margin_dollars
39338,Jefferson in Paris,14000000,4923256,-184.36,1995,,,,,,,,,-9076744
39339,Tank Girl,25000000,8128666,-207.55,1995,,,,,,,,,-16871334
39340,Cutthroat Island,92000000,28534644,-222.42,1995,,,,,,,,,-63465356
39341,Things to Do in Denver when You're Dead,15000000,1059532,-1315.72,1995,,,,,,,,,-13940468
39342,The Thief and the Cobbler,24000000,1338552,-1692.98,1995,,,,,,,,,-22661448
39343,Clerks,27000,6967668,99.61,1994,,,,,,,,,6940668
39344,Four Weddings and a Funeral,4500000,295596641,98.48,1994,,,,,,,,,291096641
39345,Pulp Fiction,8000000,320857524,97.51,1994,,,,,,,,,312857524
39346,Hoop Dreams,700000,19536742,96.42,1994,,,,,,,,,18836742
39347,The Mask,18000000,471540258,96.18,1994,,,,,,,,,453540258
39348,Dumb & Dumber,16000000,373575374,95.72,1994,,,,,,,,,357575374
39349,Forrest Gump,55000000,1010001775,94.55,1994,,,,,,,,,955001775
39350,The Lion King,79300000,1408000151,94.37,1994,,,,,,,,,1328700151
39351,The Santa Clause,22000000,334633357,93.43,1994,,,,,,,,,312633357
39352,Ace Ventura: Pet Detective,12000000,179434792,93.31,1994,,,,,,,,,167434792
39353,Speed,30000000,404448145,92.58,1994,,,,,,,,,374448145
39354,The Flintstones,45000000,489031208,90.8,1994,,,,,,,,,444031208
39355,Legends of the Fall,30000000,227005146,86.78,1994,,,,,,,,,197005146
39356,Exotica,1500000,10092236,85.14,1994,,,,,,,,,8592236
39357,Little Women,15000000,100006606,85.0,1994,,,,,,,,,85006606
39358,Interview with the Vampire: The Vampire Chronicles,50000000,328829216,84.79,1994,,,,,,,,,278829216
39359,A Low Down Dirty Shame,10000000,58635772,82.95,1994,,,,,,,,,48635772
39360,Disclosure,55000000,295215089,81.37,1994,,,,,,,,,240215089
39361,Clear and Present Danger,62000000,329512656,81.18,1994,,,,,,,,,267512656
39362,Timecop,28000000,146907162,80.94,1994,,,,,,,,,118907162
39363,Star Trek: Generations,38000000,195671262,80.58,1994,,,,,,,,,157671262
39364,True Lies,100000000,511582411,80.45,1994,,,,,,,,,411582411
39365,Stargate,55000000,268131338,79.49,1994,,,,,,,,,213131338
39366,The Client,45000000,209730422,78.54,1994,,,,,,,,,164730422
39367,Wes Craven's New Nightmare,8000000,36180362,77.89,1994,,,,,,,,,28180362
39368,LÃ©on,16000000,64569948,75.22,1994,,,,,,,,,48569948
39369,Street Fighter,35000000,132846000,73.65,1994,,,,,,,,,97846000
39370,Sugar Hill,10000000,36696361,72.75,1994,,,,,,,,,26696361
39371,Naked Gun 33 1/3: The Final Insult,30000000,102083712,70.61,1994,,,,,,,,,72083712
39373,Beverly Hills Cop III,50000000,161767799,69.09,1994,,,,,,,,,111767799
39374,The River Wild,45000000,141030000,68.09,1994,,,,,,,,,96030000
39375,Frankenstein,45000000,134012592,66.42,1994,,,,,,,,,89012592
39376,Wolf,70000000,196023514,64.29,1994,,,,,,,,,126023514
39377,The Specialist,45000000,114725162,60.78,1994,,,,,,,,,69725162
39378,The Shawshank Redemption,25000000,56548561,55.79,1994,,,,,,,,,31548561
39379,The Inkwell,8000000,17729398,54.88,1994,,,,,,,,,9729398
39380,Ri¢hie Ri¢h,40000000,76175512,47.49,1994,,,,,,,,,36175512
39381,Crooklyn,14000000,26048340,46.25,1994,,,,,,,,,12048340
39382,Heavenly Creatures,5000000,8484206,41.07,1994,,,,,,,,,3484206
39383,The Shadow,40000000,63671200,37.18,1994,,,,,,,,,23671200
39384,On Deadly Ground,50000000,77180916,35.22,1994,,,,,,,,,27180916
39385,Bullets Over Broadway,20000000,26767494,25.28,1994,,,,,,,,,6767494
39386,Serial Mom,13000000,15762670,17.53,1994,,,,,,,,,2762670
