,movie,budget_int,total_gross_int,gross_margin,release_year,tconst,runtime_minutes,genre_lists,main_genre,averageRating,title,region,is_original_title,gross_margin_dollars
0,Us,20000000,429217240,95.34,2019,tt6857112,116.0,"['Horror', 'Mystery', 'Thriller']",Horror/Mystery/Thriller,6.8,Nosotros,AR,0.0,409217240
27,Dragon Ball Super: Broly,8500000,153124510,94.45,2019,,,,,,,,,144624510
28,Five Feet Apart,7000000,126233642,94.45,2019,tt6472976,116.0,"['Drama', 'Romance']",Drama/Romance,7.2,Five Feet Apart,US,0.0,119233642
49,Glass,20000000,356338510,94.39,2019,tt6823368,129.0,"['Drama', 'Sci-Fi', 'Thriller']",Drama/Sci-Fi/Thriller,6.6,Glass,AR,0.0,336338510
73,MA,5000000,80350165,93.78,2019,,,,,,,,,75350165
74,Happy Death Day 2U,9000000,92230540,90.24,2019,tt8155288,100.0,"['Drama', 'Horror', 'Mystery']",Drama/Horror/Mystery,6.2,Happy Death Day 2U,,1.0,83230540
104,John Wick: Chapter 3 - Parabellum,40000000,398242353,89.96,2019,tt6146586,131.0,"['Action', 'Crime', 'Thriller']",Action/Crime/Thriller,7.4,John Wick 3: Parabellum,PE,0.0,358242353
136,The Intruder,8000000,71101775,88.75,2019,tt6722030,102.0,"['Drama', 'Horror', 'Mystery']",Drama/Horror/Mystery,5.6,The Intruder,,1.0,63101775
143,Captain Marvel,175000000,1549587502,88.71,2019,tt4154664,123.0,"['Action', 'Adventure', 'Sci-Fi']",Action/Adventure/Sci-Fi,6.8,Captain Marvel (Capitão Marvel),PT,0.0,1374587502
175,Pet Sematary,21000000,164225842,87.21,2019,tt0837563,101.0,"['Horror', 'Mystery', 'Thriller']",Horror/Mystery/Thriller,5.7,Gyvuneliu kapines,LT,0.0,143225842
209,BrightBurn,7000000,44783930,84.37,2019,,,,,,,,,37783930
210,What Men Want,20000000,124523806,83.94,2019,tt7634968,117.0,"['Comedy', 'Fantasy', 'Romance']",Comedy/Fantasy/Romance,5.3,Lo que ellos quieren,PE,0.0,104523806
226,The Upside,37500000,227260033,83.5,2019,,,,,,,,,189760033
227,Unplanned,6000000,36215242,83.43,2019,tt9024106,106.0,"['Biography', 'Drama']",Biography/Drama,5.8,Unplanned,,1.0,30215242
230,Shazam!,85000000,502506589,83.08,2019,tt0448115,132.0,"['Action', 'Adventure', 'Comedy']",Action/Adventure/Comedy,7.0,¡Shazam!,CL,0.0,417506589
253,The Prodigy,6000000,34646003,82.68,2019,tt4504044,92.0,"['Horror', 'Thriller']",Horror/Thriller,5.9,The Prodigy,US,0.0,28646003
275,Fighting With My Family,11000000,62008505,82.26,2019,,,,,,,,,51008505
276,How to Train Your Dragon: The Hidden World,129000000,680050083,81.03,2019,tt2386490,104.0,"['Action', 'Adventure', 'Animation']",Action/Adventure/Animation,7.5,How to Train Your Dragon: The Hidden World,,1.0,551050083
317,Aladdin,182000000,865968628,78.98,2019,tt6139732,128.0,"['Adventure', 'Comedy', 'Family']",Adventure/Comedy/Family,6.9,Aladin,SI,0.0,683968628
353,Rocketman,41000000,165985450,75.3,2019,tt2066051,121.0,"['Biography', 'Drama', 'Music']",Biography/Drama/Music,7.3,Rocketman,IL,0.0,124985450
373,PokÃ©mon: Detective Pikachu,150000000,550766239,72.77,2019,,,,,,,,,400766239
374,Isn't it Romantic,31000000,97582374,68.23,2019,,,,,,,,,66582374
375,The LEGO Movie 2: The Second Part,99000000,296132206,66.57,2019,,,,,,,,,197132206
376,Alita: Battle Angel,170000000,488686246,65.21,2019,tt0437086,122.0,"['Action', 'Adventure', 'Sci-Fi']",Action/Adventure/Sci-Fi,7.3,Alita: Bojový Anjel,SK,0.0,318686246
410,Dumbo,170000000,458887740,62.95,2019,tt3861390,112.0,"['Adventure', 'Family', 'Fantasy']",Adventure/Family/Fantasy,6.3,Дъмбо,BG,0.0,288887740
437,Godzilla: King of the Monsters,170000000,384853882,55.83,2019,tt3741700,132.0,"['Action', 'Adventure', 'Fantasy']",Action/Adventure/Fantasy,6.0,Godzilla II: King of the Monsters,DE,0.0,214853882
474,The Secret Life of Pets 2,80000000,177147151,54.84,2019,tt5113040,86.0,"['Adventure', 'Animation', 'Comedy']",Adventure/Animation/Comedy,6.5,Kæledyrenes hemmelige liv 2,DK,0.0,97147151
502,The Best of Enemies,10000000,20411232,51.01,2019,tt4807408,133.0,"['Biography', 'Drama', 'History']",Biography/Drama/History,7.3,The Best of Enemies,XWW,0.0,10411232
507,Miss Bala,15000000,30360325,50.59,2019,tt5941692,104.0,"['Action', 'Crime', 'Drama']",Action/Crime/Drama,5.8,Miss Bala,US,0.0,15360325
519,A Dog's Way Home,61000000,123102404,50.45,2019,tt7616798,96.0,"['Adventure', 'Drama', 'Family']",Adventure/Drama/Family,6.7,Uno más de la familia,ES,0.0,62102404
545,Long Shot,40000000,73913891,45.88,2019,tt2139881,125.0,"['Comedy', 'Romance']",Comedy/Romance,6.8,Zavedi me ako možeš,RS,0.0,33913891
572,Wonder Park,100000000,160366215,37.64,2019,tt6428676,85.0,"['Adventure', 'Animation', 'Comedy']",Adventure/Animation/Comedy,5.9,Willkommen im Wunder Park,DE,0.0,60366215
601,Cold Pursuit,60000000,94738021,36.67,2019,tt5719748,119.0,"['Action', 'Crime', 'Drama']",Action/Crime/Drama,6.2,Venganza bajo cero,ES,0.0,34738021
630,Hellboy,50000000,62629240,20.17,2019,tt2274648,120.0,"['Action', 'Adventure', 'Fantasy']",Action/Adventure/Fantasy,5.2,Hellboy: El infierno se acerca,UY,0.0,12629240
653,PMC: deo beong-keo,10300000,12478635,17.46,2019,,,,,,,,,2178635
654,The Sun is Also a Star,9000000,10384058,13.33,2019,,,,,,,,,1384058
655,UglyDolls,45000000,44539328,-1.03,2019,tt1946502,87.0,"['Adventure', 'Animation', 'Comedy']",Adventure/Animation/Comedy,5.0,Hoi Thu Bong Ngo Nghinh,VN,0.0,-460672
684,Serenity,25000000,19914074,-25.54,2019,tt6476140,106.0,"['Drama', 'Mystery', 'Sci-Fi']",Drama/Mystery/Sci-Fi,5.4,Vihar előtt,HU,0.0,-5085926
711,The Kid Who Would Be King,59000000,45139236,-30.71,2019,tt6811018,120.0,"['Action', 'Adventure', 'Family']",Action/Adventure/Family,6.0,Nacido para ser rey,PE,0.0,-13860764
738,Captive State,25000000,14951615,-67.21,2019,tt5968394,109.0,"['Sci-Fi', 'Thriller']",Sci-Fi/Thriller,6.0,Captive State,US,0.0,-10048385
759,Dark Phoenix,350000000,192524700,-81.79,2019,tt6565702,113.0,"['Action', 'Adventure', 'Sci-Fi']",Action/Adventure/Sci-Fi,5.7,X-Men: Dark Phoenix,FR,0.0,-157475300
794,The Professor and the Madman,25000000,5227233,-378.26,2019,tt5932728,124.0,"['Biography', 'Drama', 'Mystery']",Biography/Drama/Mystery,7.3,Profesor i luðak,HR,0.0,-19772767
815,El Chicano,8000000,1400522,-471.22,2019,,,,,,,,,-6599478
816,Late Night,4000000,492610,-712.0,2019,tt6107548,102.0,"['Comedy', 'Drama']",Comedy/Drama,6.5,Late Night,US,0.0,-3507390
821,Kursk,40000000,4212799,-849.49,2019,,,,,,,,,-35787201
822,Men in Black: International,110000000,6200000,-1674.19,2019,tt2283336,115.0,"['Action', 'Adventure', 'Comedy']",Action/Adventure/Comedy,5.6,Люди в черном: Интернэшнл,RU,0.0,-103800000
849,Braid,1660000,80745,-1955.85,2019,,,,,,,,,-1579255
850,Shaft,30000000,1200000,-2400.0,2019,tt4463894,,"['Action', 'Comedy', 'Crime']",Action/Comedy/Crime,6.4,Shaft,US,0.0,-28800000
855,Renegades,77500000,1521672,-4993.08,2019,,,,,,,,,-75978328
856,Halloween,10000000,414242682,97.59,2018,tt1502407,106.0,"['Horror', 'Thriller']",Horror/Thriller,6.5,Halloween Returns,US,0.0,404242682
881,Truth or Dare,3500000,136538359,97.44,2018,tt6772950,100.0,"['Horror', 'Thriller']",Horror/Thriller,5.2,Wahrheit oder Pflicht,DE,0.0,133038359
913,A Quiet Place,17000000,522546655,96.75,2018,tt6644200,90.0,"['Drama', 'Horror', 'Sci-Fi']",Drama/Horror/Sci-Fi,7.5,A Quiet Place: Un posto tranquillo,IT,0.0,505546655
945,Unfriended: Dark Web,1000000,25301333,96.05,2018,tt4761916,92.0,"['Crime', 'Horror', 'Mystery']",Crime/Horror/Mystery,6.0,Unfriended: Dark Web,IT,0.0,24301333
958,I Can Only Imagine,7000000,169086573,95.86,2018,tt6450186,110.0,"['Biography', 'Drama', 'Family']",Biography/Drama/Family,7.4,Si sólo pudiera imaginar,AR,0.0,162086573
971,Insidious: The Last Key,10000000,235630918,95.76,2018,tt5726086,103.0,"['Horror', 'Mystery', 'Thriller']",Horror/Mystery/Thriller,5.7,Naznaczony: ostatni klucz,PL,0.0,225630918
1002,Bohemian Rhapsody,55000000,1111288681,95.05,2018,tt1727824,134.0,"['Biography', 'Drama', 'Music']",Biography/Drama/Music,7.9,Boemska Rapsodija,RS,0.0,1056288681
1037,Winchester,3500000,69469856,94.96,2018,tt1072748,99.0,"['Biography', 'Drama', 'Fantasy']",Biography/Drama/Fantasy,5.5,La maldición de la casa Winchester,AR,0.0,65969856
1069,A Star is Born,36000000,648738437,94.45,2018,,,,,,,,,612738437
1070,Green Book,23000000,407114610,94.35,2018,tt6966692,130.0,"['Biography', 'Comedy', 'Drama']",Biography/Comedy/Drama,8.2,Green Book: Una amistad sin fronteras,AR,0.0,384114610
1107,Breaking In,6000000,98252210,93.89,2018,tt7137846,88.0,"['Action', 'Crime', 'Drama']",Action/Crime/Drama,5.5,Asalto en la noche,ES,0.0,92252210
1119,Book Club,10000000,159679979,93.74,2018,tt6857166,104.0,"['Comedy', 'Drama', 'Romance']",Comedy/Drama/Romance,6.1,Klub zadovoljnih zensk,SI,0.0,149679979
1147,The First Purge,13000000,206106050,93.69,2018,tt6133466,98.0,"['Action', 'Horror', 'Sci-Fi']",Action/Horror/Sci-Fi,5.2,A Primeira Noite de Crime,BR,0.0,193106050
1174,Unsane,1500000,21934975,93.16,2018,tt7153766,98.0,"['Drama', 'Horror', 'Mystery']",Drama/Horror/Mystery,6.4,Niepoczytalna,PL,0.0,20434975
1191,Eighth Grade,2000000,27880726,92.83,2018,tt7014006,93.0,"['Comedy', 'Drama']",Comedy/Drama,7.4,Eighth Grade,US,0.0,25880726
1201,Crazy Rich Asians,30000000,412632632,92.73,2018,tt3104988,120.0,"['Comedy', 'Romance']",Comedy/Romance,6.9,Šašavi Bogati Azijanci,RS,0.0,382632632
1231,Hereditary,10000000,114203361,91.24,2018,tt7784604,127.0,"['Drama', 'Horror', 'Mystery']",Drama/Horror/Mystery,7.3,Hereditário,BR,0.0,104203361
1259,Overboard,12000000,135685953,91.16,2018,tt1563742,112.0,"['Comedy', 'Romance']",Comedy/Romance,6.0,I że ci nie odpuszczę,PL,0.0,123685953
1280,Sorry to Bother You,3200000,35778656,91.06,2018,tt5688932,111.0,"['Comedy', 'Fantasy', 'Sci-Fi']",Comedy/Fantasy/Sci-Fi,6.9,Sorry to Bother You,,1.0,32578656
1286,The Strangers: Prey at Night,5000000,54391523,90.81,2018,tt1285009,85.0,['Horror'],Horror,5.2,Nieznajomi: Ofiarowanie,PL,0.0,49391523
1315,Hotel Transylvania 3: Summer Vacation,65000000,694580054,90.64,2018,tt5220122,97.0,"['Adventure', 'Animation', 'Comedy']",Adventure/Animation/Comedy,6.3,Монстри на канiкулах 3,UA,0.0,629580054
1354,"Love, Simon",10000000,106346974,90.6,2018,tt5164432,110.0,"['Comedy', 'Drama', 'Romance']",Comedy/Drama/Romance,7.6,"Be'ahava, Simon",IL,0.0,96346974
1387,Dr. Seuss' The Grinch,75000000,781623376,90.4,2018,,,,,,,,,706623376
1388,Black Panther,200000000,2048317790,90.24,2018,tt1825683,134.0,"['Action', 'Adventure', 'Sci-Fi']",Action/Adventure/Sci-Fi,7.3,Чорна Пантера,UA,0.0,1848317790
1417,Jurassic World: Fallen Kingdom,170000000,1723492559,90.14,2018,tt4881806,128.0,"['Action', 'Adventure', 'Sci-Fi']",Action/Adventure/Sci-Fi,6.2,Свiт Юрського перiоду 2,UA,0.0,1553492559
1453,Deadpool 2,110000000,1111272292,90.1,2018,tt5463162,119.0,"['Action', 'Adventure', 'Comedy']",Action/Adventure/Comedy,7.7,Era uma Vez um Deadpool,BR,0.0,1001272292
1486,The Possession of Hannah Grace,6000000,57621561,89.59,2018,tt5734576,86.0,"['Horror', 'Mystery', 'Thriller']",Horror/Mystery/Thriller,5.2,The Possession of Hannah Grace,DE,0.0,51621561
1512,Upgrade,3000000,28530415,89.48,2018,tt6499752,100.0,"['Action', 'Sci-Fi', 'Thriller']",Action/Sci-Fi/Thriller,7.5,Апгрейд (Стем),UA,0.0,25530415
1530,BlacKkKlansman,15000000,142292675,89.46,2018,tt7349662,135.0,"['Biography', 'Crime', 'Drama']",Biography/Crime/Drama,7.5,BlacKkKlansman,DE,0.0,127292675
1560,Forever My Girl,3500000,32752132,89.31,2018,tt4103724,108.0,"['Drama', 'Music', 'Romance']",Drama/Music/Romance,6.7,Per sempre la mia ragazza,IT,0.0,29252132
1568,Incredibles 2,200000000,1851102455,89.2,2018,tt3606756,118.0,"['Action', 'Adventure', 'Animation']",Action/Adventure/Animation,7.6,Neviđeni 2,RS,0.0,1651102455
1607,Aquaman,160000000,1481956447,89.2,2018,tt1477834,143.0,"['Action', 'Adventure', 'Fantasy']",Action/Adventure/Fantasy,6.9,Aquaman,MX,0.0,1321956447
1635,Peter Rabbit,50000000,462370570,89.19,2018,tt5117670,95.0,"['Adventure', 'Animation', 'Comedy']",Adventure/Animation/Comedy,6.6,Zec Petar,RS,0.0,412370570
1669,Venom,116000000,1067140013,89.13,2018,tt1270797,112.0,"['Action', 'Sci-Fi', 'Thriller']",Action/Sci-Fi/Thriller,6.7,Venom,UY,0.0,951140013
1693,Avengers: Infinity War,300000000,2726949682,89.0,2018,tt4154756,149.0,"['Action', 'Adventure', 'Sci-Fi']",Action/Adventure/Sci-Fi,8.4,Avengers: Infinity War,AR,0.0,2426949682
1731,"Paul, Apostle of Christ",5000000,43077497,88.39,2018,tt7388562,108.0,"['Adventure', 'Biography', 'Drama']",Adventure/Biography/Drama,6.7,"Paul, Apostle of Christ",NO,0.0,38077497
1750,Fifty Shades Freed,55000000,471758379,88.34,2018,tt4477536,105.0,"['Drama', 'Romance', 'Thriller']",Drama/Romance/Thriller,4.5,Fifty Shades Freed,,1.0,416758379
1780,The Favourite,15000000,128480712,88.33,2018,tt5083738,119.0,"['Biography', 'Drama', 'History']",Biography/Drama/History,7.5,La favorita,PE,0.0,113480712
1815,Slender Man,10000000,82288469,87.85,2018,tt5690360,93.0,"['Horror', 'Mystery', 'Thriller']",Horror/Mystery/Thriller,3.2,Slender Man,PT,0.0,72288469
1833,Teen Titans Go! To The Movies,10000000,81410829,87.72,2018,,,,,,,,,71410829
1834,A Simple Favor,20000000,151177303,86.77,2018,tt7040874,117.0,"['Comedy', 'Crime', 'Drama']",Comedy/Crime/Drama,6.8,Slatka mala tajna,HR,0.0,131177303
1869,Blockers,21000000,154356823,86.4,2018,tt2531344,102.0,['Comedy'],Comedy,6.2,Me'abdim et ze,IL,0.0,133356823
1899,Creed II,50000000,329307411,84.82,2018,tt6343314,130.0,"['Drama', 'Sport']",Drama/Sport,7.1,Qridi 2,GE,0.0,279307411
1924,Second Act,15700000,102571081,84.69,2018,tt2126357,103.0,"['Comedy', 'Drama', 'Romance']",Comedy/Drama/Romance,5.8,Zdaj ali nikoli,SI,0.0,86871081
1948,Ant-Man and the Wasp,130000000,839793400,84.52,2018,tt5095030,118.0,"['Action', 'Adventure', 'Comedy']",Action/Adventure/Comedy,7.0,Skruzdeliukas ir vapsva,LT,0.0,709793400
1980,Spider-Man: Into The Spider-Verse 3D,90000000,565554963,84.09,2018,,,,,,,,,475554963
1981,Ocean's 8,70000000,437334687,83.99,2018,,,,,,,,,367334687
1982,Night School,29000000,180347922,83.92,2018,tt6781982,111.0,['Comedy'],Comedy,5.6,Escuela para fracasados,ES,0.0,151347922
2000,Bumblebee,102000000,592391178,82.78,2018,tt4701182,114.0,"['Action', 'Adventure', 'Sci-Fi']",Action/Adventure/Sci-Fi,6.7,Bumblebee,TH,0.0,490391178
2026,Mission: Impossible - Fallout,178000000,1007615656,82.33,2018,tt4912910,147.0,"['Action', 'Adventure', 'Thriller']",Action/Adventure/Thriller,7.7,Missão: Impossível - Efeito Fallout,BR,0.0,829615656
2062,The Mule,50000000,274662083,81.8,2018,tt7959026,116.0,"['Crime', 'Drama', 'Thriller']",Crime/Drama/Thriller,7.0,Трафикантът,BG,0.0,224662083
2091,Hell Fest,5500000,29226662,81.18,2018,tt1999890,89.0,['Horror'],Horror,5.5,Hell Fest - Parque dos Horrores,PT,0.0,23726662
2107,Maze Runner: The Death Cure,61000000,323910979,81.17,2018,,,,,,,,,262910979
2108,Game Night,37000000,186557150,80.17,2018,tt2704998,100.0,"['Action', 'Comedy', 'Crime']",Action/Comedy/Crime,6.9,Družabni večer,SI,0.0,149557150
2136,Uncle Drew,18000000,88997107,79.77,2018,tt7334528,103.0,"['Comedy', 'Sport']",Comedy/Sport,5.8,Tio Drew,BR,0.0,70997107
2141,The House with a Clock in its Walls,40000000,194881445,79.47,2018,,,,,,,,,154881445
2142,Ready Player One,150000000,716980308,79.08,2018,tt1677720,140.0,"['Action', 'Adventure', 'Sci-Fi']",Action/Adventure/Sci-Fi,7.4,Ready Player One: Jogador 1,PT,0.0,566980308
2172,Tag,28000000,131756811,78.75,2018,tt2854926,100.0,['Comedy'],Comedy,6.5,The Tag Brothers,US,0.0,103756811
2201,Acrimony,20000000,90176932,77.82,2018,tt6063050,120.0,"['Drama', 'Romance', 'Thriller']",Drama/Romance/Thriller,5.8,Acrimony,FR,0.0,70176932
2211,Rampage,120000000,529084513,77.32,2018,tt2231461,107.0,"['Action', 'Adventure', 'Sci-Fi']",Action/Adventure/Sci-Fi,6.1,Rampage,,1.0,409084513
2247,I Feel Pretty,32000000,140349398,77.2,2018,tt6791096,110.0,"['Comedy', 'Romance']",Comedy/Romance,5.6,I Feel Pretty,DE,0.0,108349398
2275,Den of Thieves,30000000,125079013,76.02,2018,tt1259528,140.0,"['Action', 'Crime', 'Drama']",Action/Crime/Drama,7.0,Bratstvo lopova,HR,0.0,95079013
2302,Ralph Breaks The Internet,175000000,725375406,75.87,2018,,,,,,,,,550375406
2303,Fantastic Beasts: The Crimes of Grindelwald,200000000,811775987,75.36,2018,tt4123430,134.0,"['Adventure', 'Family', 'Fantasy']",Adventure/Family/Fantasy,6.5,Animales Fantásticos: Los crímenes de Grindelwald,PE,0.0,611775987
2342,Werk ohne Autor,1400000,5634899,75.15,2018,,,,,,,,,4234899
2343,Goosebumps 2: Haunted Halloween,35000000,139988799,75.0,2018,tt5664636,90.0,"['Adventure', 'Comedy', 'Family']",Adventure/Comedy/Family,5.6,Goosebumps 2: Haunted Halloween,,1.0,104988799
2372,Life of the Party,30000000,118819822,74.75,2018,tt5619332,105.0,['Comedy'],Comedy,5.6,Life of the Party,,1.0,88819822
2389,Christopher Robin,75000000,296719800,74.72,2018,tt4575576,104.0,"['Adventure', 'Animation', 'Comedy']",Adventure/Animation/Comedy,7.3,Κρίστοφερ & Γουίνι,GR,0.0,221719800
2429,Mary Poppins Returns,130000000,513486956,74.68,2018,tt5028340,130.0,"['Comedy', 'Family', 'Fantasy']",Comedy/Family/Fantasy,6.7,Mary Poppins se vraća,HR,0.0,383486956
2466,Instant Family,48000000,187099425,74.35,2018,tt7401588,118.0,"['Comedy', 'Drama']",Comedy/Drama,7.3,Plötzlich Familie,DE,0.0,139099425
2494,The Equalizer 2,77000000,292537494,73.68,2018,tt3766354,121.0,"['Action', 'Crime', 'Thriller']",Action/Crime/Thriller,6.7,Equalizer 2,FR,0.0,215537494
2519,The Meg,178000000,674974457,73.63,2018,tt4779682,113.0,"['Action', 'Horror', 'Sci-Fi']",Action/Horror/Sci-Fi,5.6,Мега звяр,BG,0.0,496974457
2550,Smallfoot,80000000,296931380,73.06,2018,tt6182908,96.0,"['Adventure', 'Animation', 'Comedy']",Adventure/Animation/Comedy,6.6,Miflatzot ba'sheleg,IL,0.0,216931380
2578,Tomb Raider,90000000,331728304,72.87,2018,tt1365519,119.0,"['Action', 'Adventure', 'Fantasy']",Action/Adventure/Fantasy,6.3,Tomb Raider,HU,0.0,241728304
2605,Sicario: Day of the Soldado,35000000,125951046,72.21,2018,tt5052474,122.0,"['Action', 'Crime', 'Drama']",Action/Crime/Drama,7.1,Sicario 2: Soldado,GB,0.0,90951046
2641,Peppermint,25000000,87219481,71.34,2018,tt6850820,101.0,"['Action', 'Crime', 'Drama']",Action/Crime/Drama,6.5,Nekama kharifa,IL,0.0,62219481
2665,The Commuter,40000000,138329289,71.08,2018,tt1590193,105.0,"['Action', 'Mystery', 'Thriller']",Action/Mystery/Thriller,6.3,El pasajero,AR,0.0,98329289
2695,Nobody's Fool,19000000,64302603,70.45,2018,tt8097306,110.0,"['Comedy', 'Drama', 'Romance']",Comedy/Drama/Romance,4.9,Növérek szabadlábon,HU,0.0,45302603
2707,12 Strong,35000000,116938091,70.07,2018,tt1413492,130.0,"['Action', 'Drama', 'History']",Action/Drama/History,6.6,12 Силни,BG,0.0,81938091
2737,On the Basis of Sex,20000000,62696064,68.1,2018,tt4669788,120.0,"['Biography', 'Drama']",Biography/Drama,7.1,On the Basis of Sex,,1.0,42696064
2764,The 15:17 to Paris,30000000,92372486,67.52,2018,tt6802308,94.0,"['Biography', 'Drama', 'Thriller']",Biography/Drama/Thriller,5.3,15:17 Tren a París,UY,0.0,62372486
2797,Skyscraper,125000000,372535654,66.45,2018,tt5758778,102.0,"['Action', 'Adventure', 'Thriller']",Action/Adventure/Thriller,5.8,Toa Thap Choc Troi,VN,0.0,247535654
2825,Mile 22,35000000,102403879,65.82,2018,tt4560436,94.0,"['Action', 'Adventure', 'Thriller']",Action/Adventure/Thriller,6.1,Milla 22: El escape,PE,0.0,67403879
2847,Widows,40000000,116268720,65.6,2018,tt4218572,129.0,"['Crime', 'Drama', 'Thriller']",Crime/Drama/Thriller,6.9,Almanot,IL,0.0,76268720
2875,If Beale Street Could Talk,12000000,34774940,65.49,2018,tt7125860,119.0,"['Drama', 'Romance']",Drama/Romance,7.1,Si Beale Street pouvait parler,FR,0.0,22774940
2897,The Hate U Give,23000000,64787148,64.5,2018,tt5580266,133.0,"['Crime', 'Drama']",Crime/Drama,7.5,The Hate U Give,US,0.0,41787148
2911,Red Sparrow,69000000,192826366,64.22,2018,tt2873282,140.0,"['Action', 'Drama', 'Thriller']",Action/Drama/Thriller,6.6,Le moineau rouge,CA,0.0,123826366
2942,Death Wish,30000000,82592993,63.68,2018,tt1137450,107.0,"['Action', 'Crime', 'Drama']",Action/Crime/Drama,6.3,Mirties troškimas,LT,0.0,52592993
2970,Alpha,51000000,135476252,62.36,2018,tt4244998,96.0,"['Adventure', 'Drama', 'Family']",Adventure/Drama/Family,6.7,Alfa,PE,0.0,84476252
2995,Indivisible,2700000,7099722,61.97,2018,tt6512428,119.0,"['Drama', 'War']",Drama/War,5.9,Indivisible,US,0.0,4399722
2997,Fahrenheit 11/9,5000000,13006021,61.56,2018,tt8632862,128.0,['Documentary'],Documentary,7.0,Fahrenheit 11/9,IL,0.0,8006021
3007,Superfly,16000000,41260718,61.22,2018,,,,,,,,,25260718
3008,Adrift,35000000,89342202,60.82,2018,tt6306064,96.0,"['Action', 'Adventure', 'Biography']",Action/Adventure/Biography,6.6,À Deriva,PT,0.0,54342202
3037,Mary Queen of Scots,25000000,63203232,60.45,2018,tt2328900,124.0,"['Biography', 'Drama', 'History']",Biography/Drama/History,6.3,Kaksi kuningatarta,FI,0.0,38203232
3067,First Man,60000000,150140370,60.04,2018,tt1213641,141.0,"['Biography', 'Drama', 'History']",Biography/Drama/History,7.3,Първият човек,BG,0.0,90140370
3094,Hearts Beat Loud,2000000,4807216,58.4,2018,tt7158430,97.0,"['Comedy', 'Drama', 'Music']",Comedy/Drama/Music,6.9,Glosne bicie serc,PL,0.0,2807216
3103,The Predator,88000000,210512271,58.2,2018,tt3829266,107.0,"['Action', 'Adventure', 'Sci-Fi']",Action/Adventure/Sci-Fi,5.3,Grobuonis. Patobulinimas,LT,0.0,122512271
3137,A Wrinkle in Time,103000000,233880490,55.96,2018,tt1620680,109.0,"['Adventure', 'Family', 'Fantasy']",Adventure/Family/Fantasy,4.2,Ett veck i tiden,SE,0.0,130880490
3172,Pacific Rim: Uprising,155000000,350804673,55.82,2018,tt2557478,111.0,"['Action', 'Adventure', 'Sci-Fi']",Action/Adventure/Sci-Fi,5.6,Pacific Rim: Εξέγερση,GR,0.0,195804673
3208,Sherlock Gnomes,59000000,130770522,54.88,2018,tt2296777,86.0,"['Adventure', 'Animation', 'Comedy']",Adventure/Animation/Comedy,5.2,Шерлок Гномс,UA,0.0,71770522
3231,Solo: A Star Wars Story,275000000,606918859,54.69,2018,tt3778644,135.0,"['Action', 'Adventure', 'Fantasy']",Action/Adventure/Fantasy,6.9,Solo: A Star Wars Story,SE,0.0,331918859
3269,First Reformed,3500000,7323028,52.21,2018,,,,,,,,,3823028
3270,Can You Ever Forgive Me?,10000000,20556252,51.35,2018,tt4595882,106.0,"['Biography', 'Comedy', 'Crime']",Biography/Comedy/Crime,7.1,¿Podrás perdonarme?,MX,0.0,10556252
3285,Vice,60000000,118719453,49.46,2018,tt6266538,132.0,"['Biography', 'Comedy', 'Drama']",Biography/Comedy/Drama,7.2,Vice,CA,0.0,58719453
3312,Holmes & Watson,42000000,72495348,42.07,2018,tt1255919,90.0,"['Adventure', 'Comedy', 'Crime']",Adventure/Comedy/Crime,3.8,Holmes & Watson,US,0.0,30495348
3328,The Nutcracker and the Four Realms,132900000,225152750,40.97,2018,tt5523010,99.0,"['Adventure', 'Family', 'Fantasy']",Adventure/Family/Fantasy,5.6,El cascanueces y los cuatro reinos,UY,0.0,92252750
3360,White Boy Rick,30000000,49952816,39.94,2018,tt4537896,111.0,"['Crime', 'Drama']",Crime/Drama,6.5,Rick l'informateur,CA,0.0,19952816
3374,The Darkest Minds,34000000,51057119,33.41,2018,tt4073790,104.0,"['Action', 'Adventure', 'Drama']",Action/Adventure/Drama,5.7,Darkest Minds: Rébellion,FR,0.0,17057119
3399,Bad Times at the El Royale,32000000,47043494,31.98,2018,tt6628394,141.0,"['Crime', 'Drama', 'Mystery']",Crime/Drama/Mystery,7.1,Bad Times at the El Royale,,1.0,15043494
3423,Proud Mary,30000000,42578177,29.54,2018,tt6421110,89.0,"['Action', 'Crime', 'Drama']",Action/Crime/Drama,5.0,Гордая Мэри,RU,0.0,12578177
3431,Annihilation,55000000,75803216,27.44,2018,tt2798920,115.0,"['Adventure', 'Drama', 'Horror']",Adventure/Drama/Horror,6.8,Αφανισμός,GR,0.0,20803216
3455,Hotel Artemis,15000000,19466936,22.95,2018,tt5834262,94.0,"['Action', 'Drama', 'Sci-Fi']",Action/Drama/Sci-Fi,6.1,ARTEMIS: Žudiku viešbutis,LT,0.0,4466936
3477,Thoroughbreds,5000000,6259907,20.13,2018,,,,,,,,,1259907
3478,Robin Hood,99000000,115572069,14.34,2018,tt4532826,116.0,"['Action', 'Adventure', 'Thriller']",Action/Adventure/Thriller,5.3,Robin Hood,VN,0.0,16572069
3503,The Girl in the Spider's Web,43000000,49811897,13.68,2018,tt5177088,115.0,"['Action', 'Crime', 'Drama']",Action/Crime/Drama,6.1,Το κορίτσι στον ιστό της αράχνης,GR,0.0,6811897
3533,Early Man,50000000,53553434,6.64,2018,tt4701724,89.0,"['Adventure', 'Animation', 'Comedy']",Adventure/Animation/Comedy,6.1,Cro Man,CA,0.0,3553434
